suite,run,run_label,group,privileged_state_feedback,input_mode,target_or_request,selected_target,semantic_alignment,execution_success,final_distance,steps,runtime_s,vlm_requests,source_metrics,source_log
Grounded ablation,5,budget_pf2_ns15,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,118.97593522071838,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/grounded_original_complete_20260606_grounded_original_ablation_budget_pf2_ns15_2026-06-06_22-12-02/metrics.json,
Grounded ablation,6,cost_history_low,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,140.86733102798462,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/grounded_original_complete_20260606_grounded_original_ablation_cost_history_low_2026-06-06_22-14-19/metrics.json,
Grounded ablation,7,cost_default,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,117.89043307304382,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/grounded_original_complete_20260606_grounded_original_ablation_cost_default_2026-06-06_22-16-55/metrics.json,
Grounded ablation,8,cost_target_high,feedback-assisted diagnostics,yes,grounded_original_ablation,,,confirmed,True,0.06426556408405304,23.0,118.11150479316711,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/grounded_original_complete_20260606_grounded_original_ablation_cost_target_high_2026-06-06_22-19-03/metrics.json,
Event re-query,1,tracking_unstable_live_vlm_r,feedback-assisted diagnostics,yes,grounded_event_requery,,,confirmed,True,0.06426556408405304,23.0,116.48612475395203,2.0,VLMPC/vlmpc-master/vlmpc-master/logs/grounded_original_event_requery_2026-06-06_21-50-40/metrics.json,
Semantic MPC,1,fixed_target,feedback-assisted diagnostics,yes,input_forms,red moon,red moon,confirmed,True,0.06426556408405304,23.0,28.649834871292114,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_input_forms_fixed_target_2026-06-06_17-02-33/metrics.json,
Semantic MPC,2,language_instruction,feedback-assisted diagnostics,yes,input_forms,red moon,red moon,confirmed,True,0.06426556408405304,23.0,32.03625130653381,1.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_input_forms_language_instruction_2026-06-06_17-03-11/metrics.json,
Semantic MPC,3,vlm_scene_selection,feedback-assisted diagnostics,yes,input_forms,red moon,red moon,confirmed,True,0.07667241990566254,11.0,173.34860396385193,2.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_input_forms_vlm_scene_selection_2026-06-06_17-03-56/metrics.json,
Semantic MPC,4,red_moon,feedback-assisted diagnostics,yes,multi_target,red moon,red moon,confirmed,True,0.06426556408405304,23.0,27.63982391357422,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_multi_target_red_moon_2026-06-06_17-06-57/metrics.json,
Semantic MPC,5,red_pentagon,feedback-assisted diagnostics,yes,multi_target,red pentagon,red pentagon,confirmed,True,0.05444122850894928,22.0,25.74759531021118,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_multi_target_red_pentagon_2026-06-06_17-07-33/metrics.json,
Semantic MPC,6,blue_moon,feedback-assisted diagnostics,yes,multi_target,blue moon,blue moon,confirmed,True,0.040970370173454285,21.0,25.409725427627563,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_multi_target_blue_moon_2026-06-06_17-08-07/metrics.json,
Semantic MPC,7,blue_cube,feedback-assisted diagnostics,yes,multi_target,blue cube,blue cube,confirmed,True,0.07329227030277252,22.0,25.514390468597412,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_multi_target_blue_cube_2026-06-06_17-08-41/metrics.json,
Semantic MPC,8,green_cube,feedback-assisted diagnostics,yes,multi_target,green cube,green cube,confirmed,True,0.051066312938928604,18.0,50.26449108123779,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_multi_target_green_cube_2026-06-06_17-09-14/metrics.json,
Semantic MPC,9,green_star,feedback-assisted diagnostics,yes,multi_target,green star,green star,confirmed,True,0.0770750567317009,16.0,47.18478512763977,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_multi_target_green_star_2026-06-06_17-10-20/metrics.json,
Semantic MPC,10,yellow_star,feedback-assisted diagnostics,yes,multi_target,yellow star,yellow star,confirmed,True,0.062375832349061966,24.0,50.412925481796265,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_multi_target_yellow_star_2026-06-06_17-11-20/metrics.json,
Semantic MPC,11,yellow_pentagon,feedback-assisted diagnostics,yes,multi_target,yellow pentagon,yellow pentagon,confirmed,True,0.04756302759051323,25.0,35.9150550365448,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_multi_target_yellow_pentagon_2026-06-06_17-12-20/metrics.json,
Semantic MPC,12,red_moon_seed_42,feedback-assisted diagnostics,yes,multi_seed,red moon,red moon,confirmed,True,0.06426556408405304,23.0,33.402913093566895,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_multi_seed_red_moon_seed_42_2026-06-06_17-13-06/metrics.json,
Semantic MPC,13,red_moon_seed_43,feedback-assisted diagnostics,yes,multi_seed,red moon,red moon,confirmed,True,0.0481998436152935,14.0,19.172197818756104,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_multi_seed_red_moon_seed_43_2026-06-06_17-13-48/metrics.json,
Semantic MPC,14,red_moon_seed_44,feedback-assisted diagnostics,yes,multi_seed,red moon,red moon,confirmed,True,0.049060605466365814,11.0,18.76027822494507,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_multi_seed_red_moon_seed_44_2026-06-06_17-14-17/metrics.json,
Semantic MPC,15,semantic_default,feedback-assisted diagnostics,yes,semantic_ablation,red moon,red moon,confirmed,True,0.06426556408405304,23.0,31.209338188171387,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_semantic_ablation_semantic_default_2026-06-06_17-14-45/metrics.json,
Semantic MPC,16,semantic_precise,feedback-assisted diagnostics,yes,semantic_ablation,red moon,red moon,confirmed,True,0.06111689284443855,33.0,44.21619439125061,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_semantic_ablation_semantic_precise_2026-06-06_17-15-25/metrics.json,
Semantic MPC,17,semantic_fast,feedback-assisted diagnostics,yes,semantic_ablation,red moon,red moon,confirmed,True,0.04347545653581619,18.0,25.37581729888916,0.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_semantic_ablation_semantic_fast_2026-06-06_17-16-20/metrics.json,
Semantic MPC,18,target_image,feedback-assisted diagnostics,yes,input_forms,red moon,blue cube,needs_audit,True,0.07329227030277252,22.0,34.70169520378113,1.0,VLMPC/vlmpc-master/vlmpc-master/logs/full_rerun_20260606_170225_input_forms_target_image_2026-06-06_17-16-54/metrics.json,
